Duns,BusinessName,DbaName,City,State,Phone,CompanyEmail,WebSite,LastVerified,ExpirationDate,Address,County,Zip,ZipSuffix,BusinessType,YearEstablished,CageCode,PurchaseCard,SDVOSB,WOSB,MOSB,Sb8A,HubZone,Employees,VeteranEmployees,OperatingLocations,AnnualRevenue,LargestContract,BondingLevel,Aggregate,FaxNumber,Naics,Fsc,Psc,GeographicalServiceArea,CommercialContracts,DodContracts,FSS,LastModified,MentorProtege,JointVenture
079624028,"1P9, Inc",,Alexandria,VA,7036281361,dwhalen@1p9.com,www.1p9.com,2/19/2015 1:28:42 PM,2/19/2017 1:28:42 PM,5688 Clouds Mill Drive,Fairfax,22310,,Sub Chapter S Corporation (Inc. or Ltd.),2011.0,,No,Yes,No,No,No,No,1.0,,1.0,,,,,,"541511, 541512, 541611, 541612",,,VA,No,No,No,2/19/2015 1:28:42 PM,No,No
079617710,"1Plus 1 Technology, Inc.","1 + 1 Technology, Inc.",Dublin,CA,4159917587,info@1plus1tech.com,1plus1tech.com,6/25/2015 12:00:00 AM,6/25/2017 12:00:00 AM,8084 South Lake Drive<br>Suite F,Alameda,94568,,Sub Chapter S Corporation (Inc. or Ltd.),2015.0,,No,Yes,No,No,No,No,2.0,,1.0,,,,,,"423430, 541512, 541519, 541618, 611420",,,CA,No,No,No,6/29/2015 10:55:42 AM,No,No
127896384,"1Source Consulting, Inc.",,Germantown,MD,3014441300,william.teel@1-sc.com,www.1-sc.com,4/22/2016 12:00:00 AM,4/22/2018 12:00:00 AM,20440<br>Century Blvd,Montgomery,20874,,Sub Chapter S Corporation (Inc. or Ltd.),1999.0,1TDN6,No,No,No,Yes,No,No,150.0,,6.0,,,,,3019160066,541519,,,"CO, DC, MD, NC, NV, VA",No,No,No,4/22/2016 10:11:39 AM,No,No
802239751,"1ST AMERICAN MEDICAL DISTRIBUTORS, INC.",,MURFREESBORO,TN,6159041263,Stan@1st-amd.com,1ST-AMD.COM,2/5/2015 12:45:17 PM,2/5/2017 12:45:17 PM,151 Heritage Park Dr<br>Suite 201,Rutherford,37129,,Sub Chapter S Corporation (Inc. or Ltd.),2007.0,4THY1,Yes,Yes,No,No,No,No,5.0,,1.0,,,,,6159041264,"327212, 334510, 334516, 334517, 339112, 339113, 423210, 423220, 423410, 423420, 423430, 423440, 423450, 423460, 423490, 423610","4240, 6510, 6515, 6520, 6525, 6530, 6540, 6545, 6640, 7125, 9340",,XX,No,No,No,8/17/2015 3:42:09 PM,No,No
602005436,"1st Choice Electrical, Inc",,Bumpass,VA,8046772746,aaron.dudley@1stchoiceelectricalinc.com,1stchoiceelectricalinc.com,1/23/2015 2:40:23 PM,1/23/2017 2:40:23 PM,1214 Robertson Town Rd,Louisa,23024,,Sub Chapter S Corporation (Inc. or Ltd.),2002.0,681U5,Yes,No,No,No,No,No,3.0,,1.0,,,,,8042005617,238210,,,"DC, MD, NC, VA",No,No,No,1/23/2015 2:40:23 PM,No,No
079554025,1v1 Fight Gear LLC,,Longwood,FL,4073040924,jason@1v1gear.com,www.1v1gear.com,10/14/2015 12:00:00 AM,10/14/2017 12:00:00 AM,1111 N. Ronald Reagan Blvd.<br>Suite 121,Osceola,32750,,Limited Liability Company (LLC),2014.0,,No,Yes,No,No,No,No,1.0,,1.0,,,,,,"315210, 315220, 315280, 315990, 316110, 316998",8330,,FL,No,No,No,10/14/2015 11:57:08 AM,No,No
079547252,1Vision LLC,,Martinsburg,WV,3055965583,bkirkpatrick@hmstech.com,www.1visionjv.com,2/24/2015 10:19:08 AM,2/24/2017 10:19:07 AM,1 Discovery Place,Berkeley,25403,,Limited Liability Company (LLC),2014.0,78QZ6,No,Yes,No,No,No,No,4.0,,1.0,,,,,3045965589,"541511, 541512, 541513, 541519",,,XX,No,No,No,2/24/2015 10:19:08 AM,No,Yes
079539605,2 Twelve Solutions LLC,,Springfield,VA,2017836834,lloyd@2twelvesolutions.com,www.2twelvesolutions.com,4/23/2015 12:58:25 PM,4/23/2017 12:58:25 PM,7845 Brompton Street,Fairfax,22152,,Limited Liability Company (LLC),2011.0,7A2T2,No,Yes,No,No,No,No,1.0,,1.0,,,,,,"541330, 541611, 541618, 541690, 541712",,,VA,No,No,No,4/23/2015 12:58:25 PM,No,No
079152345,"2-CM Technologies, LLC",,Annapolis,MD,4434585521,cduncan@2cmtechnologies.com,www.2cmtechnologies.com,7/21/2016 12:00:00 AM,7/21/2018 12:00:00 AM,2116 Chesapeake Harbour Drive<br>Unit 101,Anne Arundel,21403,,Limited Liability Company (LLC),2013.0,701K0,No,Yes,No,Yes,No,No,2.0,,1.0,,,,,8014692466,"519190, 541330, 541511, 541512, 541513, 541519, 541611, 541618, 541990, 561110, 561320",,,"DC, MD, VA",No,Yes,No,8/23/2016 9:29:38 PM,No,No
079787822,"20/20 Analytics, LLC",,Fayetteville,NC,8133349177,steven.loori@2020analyticshq.com,2020analyticshq.com,12/21/2015 12:00:00 AM,12/21/2017 12:00:00 AM,160 Buckingham Ave,Cumberland,28301,,Limited Liability Company (LLC),2015.0,7H9Y2,No,Yes,No,No,No,No,3.0,,1.0,,,,,,541990,,,NC,No,No,No,12/21/2015 9:56:56 AM,No,No
079269417,2020VET,,San Mateo,CA,6503781486,ecourtney@2020vet.com,www.2020vet.com,1/23/2015 2:00:20 PM,1/23/2017 2:00:19 PM,951 Mariners Island Blvd. Ste. 300,San Mateo,94404,,Sub Chapter S Corporation (Inc. or Ltd.),2014.0,72D54,Yes,Yes,No,No,No,No,2.0,,1.0,,,,,,"454111, 488991, 493110, 518210, 522320, 541512, 541611, 541614, 541870, 561410, 561910",,"D309, R408, R499, R604, R701, R706, T011","CA, XX",No,No,No,1/23/2015 2:00:20 PM,No,No
827962957,"21 Delta Engineers, LLC",,Omaha,NE,4024964115,pmattern@21deltaengineers.com,21deltaengineers.com,9/20/2016 12:00:00 AM,9/20/2018 12:00:00 AM,"14216 Dayton Circle, Suite 5",Douglas,68137,,Limited Liability Company (LLC),2008.0,2PBD1,Yes,Yes,No,No,No,No,6.0,,1.0,,,,,4023848900,"541310, 541330, 541340, 541350, 561621",,,XX,No,No,No,9/20/2016 11:36:43 AM,No,No
080061598,29 Route Inc,,Arlington,VA,7038558227,info@29route.com,www.29route.com,1/8/2016 12:00:00 AM,1/8/2018 12:00:00 AM,1111 Army Navy Dr Apt 303<br>Attn Richard A Lane,Arlington,22202,2008,Sub Chapter S Corporation (Inc. or Ltd.),2015.0,7HE55,No,Yes,No,No,No,No,1.0,,1.0,,,,,7036877268,"541611, 541614, 541618, 541690, 541990",,"R706, R707, R799","DC, MD, VA",No,No,No,7/31/2016 11:11:45 AM,No,No
078445544,"2Boxers, Inc.",TousJour Photography,Princeton,NJ,6104535163,rsherman@TousJour.com,www.TousJour.com,12/19/2014 12:00:00 AM,12/19/2016 12:00:00 AM,174 Nassau Street<br>Unit 233,Mercer,08542,,Sub Chapter S Corporation (Inc. or Ltd.),2010.0,,No,No,No,No,No,No,1.0,,1.0,,,,,6093095714,"333999, 541922","1290, 2030, 3655, 3695, 4210, 4330",,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY",No,No,No,8/22/2016 1:37:59 PM,No,No
962665795,"2CopperCoins, LLC",,Greenville,SC,8643541817,twiles@renovoadvantage.com,renovoadvantage.com,8/5/2015 12:00:00 AM,8/5/2017 12:00:00 AM,12 Bluff Ridge Court,Greenville,29617,,Limited Liability Company (LLC),2008.0,60W54,No,Yes,No,No,No,No,1.0,,1.0,,,,,,"424920, 511130, 541380, 541712, 611430, 611710, 624190, 812191","6910, 7610","AE12, AF12, AF16, AN56, B550, G002, R497, R499, U002, U004, U008, U009, U099",XX,No,No,No,8/5/2015 2:25:22 PM,No,No
793186557,"2H&V Construction Services, LLC",,BONIFAY,FL,8505475420,2h-v@mchsi.com,,5/12/2015 12:00:00 AM,5/12/2017 12:00:00 AM,811 S DEPOT ST,Holmes,32425,,Limited Liability Company (LLC),2007.0,4PFL1,No,Yes,No,No,No,No,20.0,,1.0,,,,,8505475560,"236210, 236220, 237110, 237130, 237310, 237990, 238110, 238120, 238130, 238140, 238150, 238160, 238170, 238190, 238210, 238220, 238290, 238310, 238320, 238330, 238340, 238350, 238390, 238910, 238990",,,,No,No,No,5/6/2016 4:46:33 PM,No,No
943310982,2K Service Enterprise LLC,Zoja Consulting,La Mesa,CA,6197010844,olga@zojaconsulting.com,www.zojaconsulting.com,5/10/2016 12:00:00 AM,5/10/2018 12:00:00 AM,4175 W Arrieta Circle,San Diego,91941,,Limited Liability Company (LLC),2012.0,6S9J3,No,Yes,Yes,Yes,No,No,1.0,,1.0,,,,,8558850502,"541611, 541612, 541614",,"AB15, AB26, AC16, AE26",CA,No,No,No,5/10/2016 2:14:15 PM,No,No
030434376,"2rbConsulting, Inc.",,Kirkland,WA,4254067644,betta@2rbconsulting.com,www.2rbconsulting.com,8/5/2015 12:00:00 AM,8/5/2017 12:00:00 AM,150 Lake Street South<br>Suite 204,King,98033,,Sub Chapter S Corporation (Inc. or Ltd.),2007.0,6TJH8,No,No,Yes,No,No,No,19.0,,3.0,,,,,8662276586,"519190, 541330, 541511, 541512, 541519, 541611, 541618, 561311, 561320",,,"CA, DC, GA, HI, ID, MA, MD, OR, UT, VA, WA",No,No,No,8/5/2015 9:59:44 AM,No,No
079809622,"2VB Enterprises, LLC",,Orlando,FL,9045833530,fvargas@2vbllc.com,www.2vbllc.com,6/15/2015 12:00:00 AM,6/15/2017 12:00:00 AM,4329 Summit Creek Blvd<br>Suite 2210,Orange,32837,,Limited Liability Company (LLC),2015.0,7CYW3,No,Yes,No,No,No,No,2.0,,1.0,0.0,0.0,0.0,0.0,9045833530,"311999, 314999, 315280, 315990, 316210, 316998, 321999, 322299, 324199, 325998, 326299, 327999, 331529, 332999, 333999, 334111, 334112, 334290, 334310, 334419, 334519, 334614, 335110, 335121, 335122, 335129, 335210, 335222, 335224, 335228, 335311, 335312, 335929, 335999, 336111, 336112, 336120, 336310, 336320, 336330, 336340, 336350, 336360, 336390, 336411, 336412, 336413, 336999, 337127, 337211, 337214, 339112, 339113, 339114, 339115, 339116, 339910, 339920, 339930, 339940, 339950, 339991, 339992, 339993, 339994, 339995, 339999","1080, 1260, 1270, 1280, 1285, 1290, 1370, 1510, 1520, 1540, 1550, 1560, 1610, 1615, 1620, 1630, 1650, 1660, 1670, 1680, 1710, 1720, 1730, 2030, 2310, 2510, 2520, 2810, 2840, 2915, 2935, 2945, 2950, 2995, 3030, 3655, 3695, 4210, 4220, 4240, 4330, 4720, 4910, 4920, 4925, 4931, 4933, 4935, 4940, 5330, 5430, 5620, 5640, 5810, 5815, 5830, 5831, 5845, 5850, 5865, 5895, 5910, 5915, 5955, 5965, 5985, 5990, 5999, 6105, 6110, 6115, 6120, 6125, 6130, 6145, 6150, 6160, 6210, 6230, 6240, 6250, 6260, 6310, 6340, 6350, 6545, 6620, 6635, 6675, 6695, 6850, 6910, 6920, 6930, 6940, 7195, 7230, 7240, 7640, 7920, 8115, 8135, 8140, 8145, 8315, 8970, 9110, 9320, 9390, 9905, 9920",R707,XX,No,No,No,6/15/2015 2:01:44 PM,No,No
080034025,2XS Consulting LLC,,Virginia Beach,VA,7575899136,slabinski.britt@gmail.com,,2/9/2016 12:00:00 AM,2/9/2018 12:00:00 AM,2329 Valle Rio Way,Virginia Beach City,23456,6738,Limited Liability Company (LLC),2015.0,,No,Yes,No,No,No,No,1.0,,1.0,,,,,7575899136,541611,,,VA,No,No,No,2/9/2016 2:56:49 PM,No,No
080283995,3 16 Solutions LLC,,Dillon,MT,4069253056,316solutions1@gmail.com,,9/7/2016 12:00:00 AM,9/7/2018 12:00:00 AM,502 South Idaho St,Beaverhead,59725,,Limited Liability Company (LLC),2015.0,7N7T2,No,Yes,No,No,No,No,1.0,,1.0,,,,,4069253056,"326220, 332911, 332912, 332913, 332919, 332999, 333613, 336330, 336340, 423120, 423830, 423840, 423850, 423860, 424720","1290, 1450, 1730, 2090, 2240, 2510, 2520, 2530, 2590, 3020, 3030, 3040, 3990, 4210, 4235, 4510, 4540, 4710, 4720, 4730, 4810, 4820, 4910, 4920, 4927, 4930, 4935, 4940, 4960, 4970, 6850, 7240, 8130, 8140, 9150, 9999","J030, J037, J038, J039, J042, J047, K014, K017, K019, K020, K022, K023, K024, K025, K030, K035, K036, K037, K038, K039, K044, K045, K046, K047, K078, K099",XX,No,No,No,9/7/2016 10:27:17 AM,No,No
080115254,"3 Bridge Medical, LLC",,Piney Flats,TN,8288082015,b.caruthers@3bridgemedical.com,,2/26/2016 12:00:00 AM,2/26/2018 12:00:00 AM,1076 Addison CT.,Sullivan,37686,,Limited Liability Company (LLC),2015.0,,No,Yes,No,No,No,No,1.0,,1.0,,,,,8656608922,423450,,,"NC, TN",No,No,No,3/31/2016 11:39:40 AM,No,No
